Store,Average,Rounded Saturday,Rounded Weekday,Region,Lat,Long
Countdown Airport,5.75,5,7,6,-36.99736985,174.7888823
Countdown Auckland City,6.25,4,8,3,-36.84496186,174.7731192
Countdown Aviemore Drive,6.07,4,8,5,-36.89887827,174.9065699
Countdown Birkenhead,6.32,5,8,1,-36.81111802,174.7248776
Countdown Blockhouse Bay,5.46,3,7,4,-36.92291876,174.7023521
Countdown Botany Downs,6.36,4,8,5,-36.92972626,174.9110718
Countdown Browns Bay,6.43,5,8,1,-36.71714479,174.7472772
Countdown Glenfield,5.68,5,7,1,-36.78148813,174.7234262
Countdown Greenlane,6.46,4,8,3,-36.88916156,174.7935037
Countdown Grey Lynn,6.57,3,8,3,-36.85144346,174.7318719
Countdown Grey Lynn Central,6.71,6,8,3,-36.86311836,174.7385667
Countdown Hauraki Corner,5.82,5,7,1,-36.79667981,174.7781249
Countdown Henderson,6.25,5,8,2,-36.88089456,174.6332277
Countdown Highland Park,5.86,3,7,5,-36.89933061,174.9084309
Countdown Hobsonville,7,6,9,2,-36.79748845,174.6487257
Countdown Howick,6.96,4,9,5,-36.89585201,174.9335377
Countdown Kelston,6.39,4,8,4,-36.90955497,174.6638042
Countdown Lincoln Road,6.64,5,8,2,-36.8568778,174.6325126
Countdown Lynfield,6.32,4,8,4,-36.92514077,174.7239957
Countdown Lynnmall,5.54,4,7,4,-36.90687152,174.6850146
Countdown Mairangi Bay,6.71,4,8,1,-36.73941255,174.7540551
Countdown Mangere East,6.18,4,8,6,-36.9657908,174.825346
Countdown Mangere Mall,5.64,4,7,6,-36.96987802,174.8011202
Countdown Manukau,6.25,6,8,6,-36.98676855,174.8848148
Countdown Manukau Mall,6.5,4,8,6,-36.99174967,174.8831931
Countdown Manurewa,6.25,4,8,6,-37.01734442,174.8651097
Countdown Meadowbank,6.32,5,8,5,-36.87610706,174.8289359
Countdown Meadowlands,6.25,3,8,5,-36.9132518,174.929465
Countdown Metro Albert Street,3.04,0,4,3,-36.84350157,174.7658662
Countdown Metro Halsey Street,2.75,0,4,3,-36.84358106,174.7578066
Countdown Milford,6.39,4,8,1,-36.77197217,174.7666177
Countdown Mt Eden,6.14,5,8,3,-36.87718131,174.7523352
Countdown Mt Roskill,6.32,5,8,4,-36.90203359,174.7356996
Countdown Mt Wellington,6.64,4,8,5,-36.9093147,174.837989
Countdown Newmarket,5.82,4,7,3,-36.8705446,174.7754093
Countdown Northcote,5.96,5,7,1,-36.80035237,174.7455338
Countdown Northwest,6.11,4,8,2,-36.81879206,174.6129291
Countdown Onehunga,6.04,4,8,4,-36.92249969,174.7838024
Countdown Pakuranga,5.86,4,7,5,-36.91284146,174.8714299
Countdown Papakura,5.79,5,7,6,-37.06390487,174.9447236
Countdown Papatoetoe,6.64,3,8,6,-36.97039494,174.862111
Countdown Ponsonby,6.64,4,8,3,-36.8584399,174.7491386
Countdown Pt Chevalier,6.5,5,8,3,-36.86957431,174.7105595
Countdown Roselands,6.79,5,8,6,-37.0589478,174.9414297
Countdown St Johns,5.64,4,7,5,-36.87888192,174.8548393
Countdown St Lukes,5.46,3,7,3,-36.88336862,174.7347459
Countdown Sunnynook,6.54,4,8,1,-36.75907026,174.7406941
Countdown Sylvia Park,6.36,4,8,5,-36.91713855,174.8418202
Countdown Takanini,6.36,5,8,6,-37.04764284,174.9279243
Countdown Takapuna,5.86,3,7,1,-36.79125414,174.7662056
Countdown Te Atatu,5.96,4,7,2,-36.84209292,174.6542381
Countdown Te Atatu South,6.14,4,8,2,-36.86472278,174.6476292
Countdown Three Kings,7.04,4,9,4,-36.90796057,174.7559072
Countdown Victoria Street West,7.29,4,9,3,-36.84853355,174.7648512
Countdown Westgate,6.61,6,8,2,-36.82092949,174.6146464
FreshChoice Glen Eden,2.93,0,4,4,-36.91087436,174.6545496
FreshChoice Half Moon Bay,3.29,0,4,5,-36.88106607,174.9002827
FreshChoice Mangere Bridge,3.29,0,4,4,-36.94250829,174.7869875
FreshChoice Otahuhu,2.68,0,4,6,-36.94480584,174.8431184
FreshChoice Ranui,3.39,0,4,2,-36.86353948,174.6015834
SuperValue Avondale,3.18,0,4,4,-36.89776863,174.69741
SuperValue Flatbush,3.32,0,4,6,-36.97676671,174.8972267
SuperValue Palomino,3.46,0,5,2,-36.88287566,174.6161793
SuperValue Papakura,3.39,0,4,6,-37.06606311,174.9556975
SuperValue Titirangi,3.11,0,4,4,-36.93739048,174.6572984
Distribution Centre,,,,DC,-36.94904179,174.8080123
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
